episode,rewards_total
1,4.38054644533
2,4.38415291501
3,4.34969330319
4,6.73055682006
5,12.4205623893
6,12.8565268839
7,1.99970462568
8,6.55843112417
9,10.5248892474
10,0.865213262029
11,6.82184239407
12,7.3318530369
13,19.2817229583
14,10.4645871091
15,-4.66364143636
16,11.9370486442
17,14.7335551379
18,3.62963395302
19,2.94632694221
20,4.67216558973
21,-0.693767439996
22,9.74654296711
23,7.58082093911
24,7.21220100014
25,9.12012659663
26,10.5576459333
27,2.54397906469
28,-0.631382621716
29,4.92952432297
30,15.7960636637
31,4.82338966424
32,2.99170138575
33,0.406989188496
34,-0.522662617681
35,4.28554725219
36,5.0059510161
37,6.93832985308
38,11.6845971065
39,13.5721115937
40,12.8976509793
41,13.2472475848
42,14.2127283631
43,-1.57995678833
44,-3.87544657991
45,-0.0852533415353
46,-2.53839442807
47,-3.43053681599
48,-3.55987529972
49,-3.70902474224
50,-3.97252065494
51,-0.263582171006
52,8.00826798153
53,3.64500378392
54,2.93812522604
55,-0.934988309689
56,4.28367710889
57,9.91109564069
58,3.07581781541
59,14.5081889856
60,6.60533625773
61,8.40408905797
62,18.127719358
63,2.09027204803
64,-4.90570977916
65,8.17074695749
66,3.93691817198
67,6.37080128025
68,9.11749689793
69,5.81654764439
70,7.06779569732
71,5.35208346924
72,5.10663365005
73,7.55240354333
74,5.55779340009
75,4.96722580545
76,6.99654163859
77,10.3299400842
78,8.18516674683
79,10.6565320707
80,13.0131141804
81,13.5135627564
82,7.4021093288
83,-3.93906635526
84,-4.16476831529
85,1.51023330757
86,1.37117244955
87,-0.00997400138108
88,-1.34762619167
89,4.45392692881
90,-0.766718223328
91,-6.67070639001
92,7.78641340127
93,10.3944757773
94,-4.29940607373
95,-33.8321393356
96,-150.841926646
97,9.3241053639
98,-21.7835765556
99,7.95617516938
100,9.60668839017
101,-17.6676426576
102,-137.252213679
103,3.99063496653
104,7.62741558037
105,1.49242680176
106,1.27244375132
107,0.943480415354
108,-41.7195932831
109,12.8862340362
110,6.30273729503
111,4.04863083262
112,2.69862217159
113,12.0866156016
114,-7.80028122846
115,18.0022407299
116,12.8644488312
117,3.46105404732
118,0.498441482954
119,4.96735495622
120,4.24475336728
121,13.9553672867
122,13.1338096478
123,13.6285738242
124,13.6755448413
125,13.4382529962
126,13.2482173289
127,13.4357172193
128,13.493665746
129,13.8123415184
130,13.2946715361
131,13.5654716982
132,13.8886449409
133,13.0891027082
134,13.7549991826
135,13.4583493611
136,13.7461352119
137,14.0157977381
138,13.2813608613
139,13.7985328568
140,13.5348666657
141,13.706715162
142,13.7047388433
143,13.7156530275
144,13.3212788925
145,13.747877274
146,13.6138972325
147,13.7180305035
148,13.7012249089
149,13.8539793599
150,13.1814097233
151,12.9171792566
152,13.626951704
153,13.3354962339
154,13.6888618392
155,13.8311000077
156,13.7028797494
157,13.8122734107
158,13.8696807234
159,14.0304129136
160,13.8224422772
161,13.864164401
162,13.2440347611
163,13.3430309477
164,13.7712255712
165,14.3108037637
166,13.2995702987
167,13.7393284275
168,13.1643081329
169,13.1269459566
170,13.5542269689
171,13.3633524277
172,13.3944404156
173,14.2335378819
174,13.8721796563
175,13.7106666907
176,14.1716420035
177,13.0391219215
178,13.9483506175
179,2.51893022338
180,19.1097793951
181,33.3305143637
182,9.00252922996
183,17.1755841465
184,-2.54923827457
185,9.35204199319
186,-3.96284241695
187,-3.28008976242
188,-0.937907282503
189,3.09804108674
190,-2.25489172886
191,7.42089593887
192,6.21091725212
193,3.0960787949
194,-3.73553181059
195,5.86945651582
196,4.8287778012
197,11.5262494028
198,-65.2297946502
199,4.1673867159
200,-9.67356656489
201,-14.2566272835
202,8.48103682243
203,-8.73156234268
204,5.05351032164
205,11.3157211322
206,-5.74712068131
207,-3.63644026949
208,-0.88064791043
209,1.69220222749
210,37.5004349492
211,-8.25246027167
212,-34.6793658888
213,-171.217831185
214,-181.095314658
215,-1.3888245737
216,5.05515880239
217,22.6643857439
218,-3.91018178522
219,8.10794624832
220,0.023131614646
221,-0.529774545865
222,-3.73528259581
223,1.38154077712
224,-171.819665357
225,-171.422596416
226,-129.799941802
227,-171.928583875
228,-128.333264903
229,-171.849260251
230,-171.453537649
231,-35.9305092682
232,-188.591300434
233,-3.77174041719
234,-1.37034496471
235,22.9211522447
236,-0.905014414352
237,-1.19569746008
238,-2.29612700372
239,-2.87011760879
240,-3.10380009145
241,-0.876935067956
242,-3.13078013222
243,-3.16477541965
244,-2.0905480254
245,-3.04138015015
246,12.6618840886
247,-4.82993275403
248,-2.86721379087
249,-1.34488410085
250,-1.02696374136
251,-3.18717820292
252,-3.39433228059
253,-3.0480576004
254,-2.42077307147
255,-2.49856314096
256,-2.46935460537
257,-1.64615415061
258,-1.50747680621
259,-1.70771576774
260,-3.99934349165
261,-1.47167561488
262,-3.5565766387
263,-2.82734212294
264,-3.00961264457
265,-2.26391874202
266,-3.7071439518
267,-2.51689117925
268,-1.79568282903
269,-1.42237452293
270,-2.94594185868
271,-2.33662554176
272,-1.97481194429
273,-2.69581424296
274,-2.92228037961
275,-3.4427995999
276,-2.62464547335
277,-2.44265022326
278,-1.71305148392
279,-3.38972912615
280,-1.85215402155
281,-2.73149316012
282,-2.52233790934
283,-2.50100190924
284,-2.20796581087
285,-2.33996110411
286,-3.21933012695
287,-1.1626302773
288,-2.67201436469
289,-2.51413445768
290,-1.68740191016
291,-2.4076593969
292,-2.41195512251
293,-1.35917070355
294,-2.83336770655
295,-2.43294118593
296,2.36425477947
297,-203.06577901
298,-202.978757596
299,-203.055910396
300,-202.966118264
301,-2.35798617006
302,-1.96082463476
303,-2.41216406105
304,-1.85847905333
305,-1.89314143621
306,-1.63440153374
307,-2.46782507462
308,-3.26900435482
309,-2.53723732018
310,-2.07258082749
311,-1.47927092361
312,-2.54447453526
313,-3.39521968487
314,-2.72400813311
315,-2.95250925536
316,-2.48195865416
317,-0.97407015082
318,-2.93693500216
319,-1.98146114769
320,-2.74894017585
321,-3.42970724787
322,-2.63541879546
323,-2.31449175443
324,-3.74873931723
325,-2.202434613
326,-2.77577444696
327,-2.95929778078
328,-3.03763426883
329,-2.65958609411
330,-3.48346574315
331,1.25037476627
332,-11.1668253431
333,-90.9011424858
334,-93.76764145
335,-142.95882703
336,-132.032099812
337,-140.200476701
338,-141.061736961
339,-142.48144848
340,-138.735914735
341,-142.517191183
342,-140.089734364
343,-136.580869946
344,-139.978927979
345,-132.98729985
346,-131.171625963
347,-141.920038927
348,-132.360930479
349,-142.019804665
350,-134.196308017
351,-143.075713943
352,-134.942942749
353,-138.493157734
354,-142.166657389
355,7.48893331947
356,-84.581402053
357,-157.734674059
358,0.247977274326
359,0.215528291163
360,3.38145229853
361,-139.201466382
362,-142.711054803
363,-137.49922
364,1.15143671332
365,-130.325171009
366,-136.30256544
367,-130.913796443
368,-137.566934244
369,-140.010839729
370,9.57178037856
371,-10.4384010052
372,11.2913093692
373,-3.20054123892
374,1.40322713186
375,3.08669610555
376,-4.46496809567
377,-4.73541396025
378,2.65731391993
379,0.740831063703
380,-24.6588601989
381,3.15781568034
382,-23.6357680349
383,18.298261103
384,-4.75356638107
385,-21.7387681077
386,4.88021451149
387,-3.57266714595
388,7.86813510675
